Date,LT_pct_above_SMA200,MT_pct_RSI_ge_50,ST_pct_RSI_ge_60,RegimeScore,RegimeScore_EMA10
2003-01-02,0.0,0.0,0.0,0.0,
2003-01-03,0.0,0.0,0.0,0.0,
2003-01-06,0.0,0.0,0.0,0.0,
2003-01-07,0.0,0.0,0.0,0.0,
2003-01-08,0.0,0.0,0.0,0.0,0.0
2003-01-09,0.0,0.0,0.0,0.0,0.0
2003-01-10,0.0,0.0,0.0,0.0,0.0
2003-01-13,0.0,0.0,0.0,0.0,0.0
2003-01-14,0.0,0.0,0.0,0.0,0.0
2003-01-15,0.0,0.0,0.0,0.0,0.0
2003-01-16,0.0,0.0,0.0,0.0,0.0
2003-01-17,0.0,0.0,0.0,0.0,0.0
2003-01-21,0.0,0.0,0.0,0.0,0.0
2003-01-22,0.0,0.0,0.0,0.0,0.0
2003-01-23,0.0,30.87431693989071,12.295081967213115,11.721311475409836,2.241634806608517
2003-01-24,0.0,19.12568306010929,9.562841530054644,7.6502732240437155,3.266347312141081
2003-01-27,0.0,12.295081967213115,4.371584699453552,4.562841530054644,3.5101166832382873
2003-01-28,0.0,16.120218579234972,5.191256830601093,5.87431693989071,3.9518975199073707
2003-01-29,0.0,21.03825136612022,8.743169398907105,8.060109289617486,4.715715957990329
2003-01-30,0.0,12.841530054644808,5.191256830601093,4.890710382513661,4.748118695230469
2003-01-31,0.0,16.39344262295082,5.46448087431694,6.0109289617486334,4.981166369941265
2003-02-03,0.0,16.39344262295082,5.46448087431694,6.0109289617486334,5.170688680902503
2003-02-04,0.0,14.207650273224044,4.918032786885246,5.245901639344262,5.18450047290343
2003-02-05,0.0,15.300546448087433,3.278688524590164,5.245901639344262,5.195755468077943
2003-02-06,0.0,15.027322404371585,4.918032786885246,5.491803278688525,5.249941373730105
2003-02-07,0.0,16.666666666666664,6.0109289617486334,6.2021857923497254,5.424020440007733
2003-02-10,0.0,23.770491803278688,8.469945355191257,8.825136612021858,6.04516028127235
2003-02-11,0.0,22.6775956284153,9.289617486338798,8.66120218579235,6.522536695276495
2003-02-12,0.0,14.207650273224044,5.737704918032787,5.40983606557377,6.31962499689733
2003-02-13,0.0,19.12568306010929,7.650273224043716,7.26775956284153,6.49243291519757
2003-02-14,0.0,37.704918032786885,14.48087431693989,14.207650273224044,7.897993499908869
2003-02-18,0.0,43.169398907103826,15.846994535519126,16.120218579234972,9.39537867660332
2003-02-19,0.0,36.0655737704918,12.295081967213115,13.278688524590162,10.102375735700994
