Date,MACD_Breadth
2003-01-02,51.902173913043484
2003-01-03,55.70652173913043
2003-01-06,62.22826086956522
2003-01-07,65.48913043478261
2003-01-08,63.04347826086957
2003-01-09,65.21739130434783
2003-01-10,67.66304347826086
2003-01-13,68.20652173913044
2003-01-14,69.10569105691057
2003-01-15,66.66666666666666
2003-01-16,64.22764227642277
2003-01-17,61.08108108108108
2003-01-21,52.702702702702695
2003-01-22,44.054054054054056
2003-01-23,41.351351351351354
2003-01-24,35.67567567567568
2003-01-27,30.0
2003-01-28,25.675675675675674
2003-01-29,24.054054054054056
2003-01-30,21.62162162162162
2003-01-31,21.08108108108108
2003-02-03,21.35135135135135
2003-02-04,20.81081081081081
2003-02-05,20.27027027027027
2003-02-06,19.45945945945946
2003-02-07,18.37837837837838
2003-02-10,18.91891891891892
2003-02-11,18.37837837837838
2003-02-12,14.864864864864865
2003-02-13,13.513513513513514
2003-02-14,14.594594594594595
2003-02-18,17.83783783783784
2003-02-19,20.54054054054054
2003-02-20,21.891891891891895
2003-02-21,24.864864864864867
2003-02-24,25.135135135135133
2003-02-25,28.91891891891892
2003-02-26,29.45945945945946
2003-02-27,31.351351351351354
2003-02-28,32.432432432432435
2003-03-03,33.78378378378378
2003-03-04,32.972972972972975
2003-03-05,34.054054054054056
2003-03-06,33.78378378378378
2003-03-07,34.054054054054056
2003-03-10,30.810810810810814
2003-03-11,28.64864864864865
2003-03-12,26.756756756756754
2003-03-13,28.37837837837838
2003-03-14,30.54054054054054
2003-03-17,35.67567567567568
2003-03-18,44.054054054054056
2003-03-19,51.621621621621614
2003-03-20,58.91891891891892
2003-03-21,69.45945945945947
2003-03-24,70.8108108108108
2003-03-25,72.16216216216216
2003-03-26,73.51351351351352
2003-03-27,72.70270270270271
2003-03-28,72.16216216216216
2003-03-31,69.1891891891892
2003-04-01,67.83783783783784
2003-04-02,72.70270270270271
2003-04-03,74.05405405405405
2003-04-04,73.24324324324324
2003-04-07,76.21621621621621
2003-04-08,75.94594594594595
2003-04-09,73.51351351351352
2003-04-10,73.24324324324324
2003-04-11,72.97297297297297
2003-04-14,74.5945945945946
2003-04-15,76.48648648648648
2003-04-16,78.10810810810811
2003-04-17,79.72972972972973
2003-04-21,80.0
2003-04-22,83.24324324324324
2003-04-23,84.5945945945946
2003-04-24,85.94594594594595
2003-04-25,84.5945945945946
2003-04-28,85.94594594594595
2003-04-29,87.29729729729729
2003-04-30,88.10810810810811
2003-05-01,87.29729729729729
2003-05-02,88.10810810810811
2003-05-05,89.72972972972974
2003-05-06,90.81081081081082
2003-05-07,91.35135135135135
2003-05-08,91.08108108108108
2003-05-09,92.16216216216216
2003-05-12,92.7027027027027
2003-05-13,92.16216216216216
2003-05-14,92.7027027027027
2003-05-15,93.78378378378378
2003-05-16,93.78378378378378
2003-05-19,92.16216216216216
2003-05-20,90.81081081081082
2003-05-21,89.45945945945945
2003-05-22,88.37837837837837
2003-05-23,86.21621621621621
2003-05-27,87.29729729729729
2003-05-28,87.29729729729729
2003-05-29,86.75675675675676
2003-05-30,88.10810810810811
2003-06-02,88.64864864864866
2003-06-03,90.27027027027027
2003-06-04,92.16216216216216
2003-06-05,93.24324324324324
2003-06-06,94.05405405405406
2003-06-09,93.51351351351352
2003-06-10,93.24324324324324
2003-06-11,93.78378378378378
2003-06-12,94.05405405405406
2003-06-13,93.24324324324324
